strain1,strain2,strain3,GCF_000164965.1_ASM16496v1_genomic,GCF_000299595.1_ASM29959v1_genomic,GCF_001020245.1_Bbif04v4_genomic,GCF_001020255.1_Bbif02v4_genomic,GCF_001020335.1_Bbif08v4_genomic,GCF_001020355.1_Bbif01v4_genomic,GCF_001595435.1_ASM159543v1_genomic,GCF_003390735.1_ASM339073v1_genomic,GCF_003436575.1_ASM343657v1_genomic,GCF_003437945.1_ASM343794v1_genomic,GCF_003470585.1_ASM347058v1_genomic,GCF_003573895.1_ASM357389v1_genomic,GCF_005844365.1_ASM584436v1_genomic,GCF_009075765.1_ASM907576v1_genomic,GCF_009159095.1_ASM915909v1_genomic,GCF_900112465.1_IMG.taxon_2654588208_annotated_assembly_genomic,GCF_900445665.1_55147_E01_genomic,GCF_901212485.1_NZ_Bifidobacterium_bifidum_MC1_genomic
g001163,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
g001164,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001166,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001167,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001171,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001173,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001174,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001175,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001177,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001178,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001179,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001181,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001182,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
g001183,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g001184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001185,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g001186,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
g001187,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001188,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g001189,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001190,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001193,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001194,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g001195,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g001196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001197,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001198,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
g001199,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001200,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001201,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g001202,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001203,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001209,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001210,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001213,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001214,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
g001215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001216,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
g001217,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001219,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
g001220,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001221,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g001222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001223,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001224,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001225,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g001226,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
g001227,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
g001228,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0
g001229,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001230,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001231,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001233,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g001234,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001235,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001236,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001237,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g001238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001239,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001240,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
g001241,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
g001242,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001243,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001244,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001246,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001247,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001248,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001249,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001250,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001251,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001252,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
g001253,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001254,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
g001255,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001258,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001259,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001260,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001261,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001262,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001263,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0
g001264,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
g001265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001266,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
g001267,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001268,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001269,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
g001270,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
g001271,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
g001272,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
g001273,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0
g001274,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
g001277,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
g001278,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001279,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001280,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0
g001281,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001282,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001283,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001285,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001286,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001287,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001288,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0
g001289,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001290,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001291,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001292,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001293,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001294,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001295,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001296,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
g001297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g001298,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
g001299,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001300,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g001301,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001302,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g001303,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
g001304,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001305,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001306,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001308,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
g001309,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
g001310,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001311,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
g001313,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1
g001319,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0
g001320,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001321,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
g001322,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
g001323,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1
g001324,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0
g001325,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001326,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g001327,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001328,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0
g001329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001330,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001331,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001333,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1
g001334,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001335,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0
g001336,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001337,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001338,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001340,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001341,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001343,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001344,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001345,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001346,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001348,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001349,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001350,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001351,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
g001352,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001353,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001354,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001355,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001356,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001357,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001358,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001359,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001360,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001361,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001362,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001363,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001364,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001365,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001366,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001367,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001368,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001369,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001370,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001371,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001372,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001376,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001377,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001378,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001379,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
g001380,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001381,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001382,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001383,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001384,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
g001385,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001386,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001388,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001389,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001390,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
g001391,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
g001392,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001394,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001395,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
g001396,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001397,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
g001398,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
g001400,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
g001401,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
g001402,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
g001403,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001405,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001408,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001413,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001414,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
g001415,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001417,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
g001418,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
g001419,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001420,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001421,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
g001422,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
g001423,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
g001424,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0
g001425,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g001426,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001427,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
g001428,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001429,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001430,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0
g001431,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
g001432,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001434,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001435,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001436,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
g001437,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
g001438,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1
g001439,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001440,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0
g001441,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001442,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g001443,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001444,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
g001445,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0
g001446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001447,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
g001448,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001449,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
g001450,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
g001451,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1
g001452,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001453,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001458,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
g001459,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
g001460,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1
g001461,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
g001462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001463,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001464,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001465,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
g001466,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0
g001467,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001468,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001469,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001470,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g001487,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001493,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
g001496,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g001499,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
g001500,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
g001501,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001502,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g001504,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
